Test folder: ./output/december/mpnet_only_supervise_label_50739/data_all_50739/shared/avg/mpnet/contra-fact-010/
sent_avg-result: 
pos_score >= 1
model name|  MAP   |  MRR   |  R@1   |  R@3   |  R@5   |  P@1   |  P@3   |  P@5   |  avg   
ours-1-79k| 0.8686 | 0.8855 | 0.797  | 0.9438 | 0.9727 | 0.797  | 0.3763 | 0.2442 | 0.7356 
ours-1-70k| 0.8665 | 0.8854 | 0.799  | 0.9398 | 0.9728 | 0.799  | 0.3757 | 0.2444 | 0.7353 
ours-1-77k| 0.8663 | 0.8848 | 0.795  | 0.9422 | 0.9728 | 0.795  | 0.3767 | 0.2444 | 0.7346 
ours-1-72k| 0.8663 | 0.8855 | 0.798  | 0.938  | 0.9721 | 0.798  | 0.3737 | 0.2426 | 0.7343 
ours-1-84k| 0.8649 | 0.883  | 0.789  | 0.9445 | 0.9722 | 0.789  | 0.3767 | 0.2448 | 0.733  
ours-1-64k| 0.8635 | 0.8824 | 0.792  | 0.9408 | 0.973  | 0.792  | 0.374  | 0.2442 | 0.7327 
ours-1-58k| 0.8633 | 0.8822 | 0.793  | 0.9355 | 0.9709 | 0.793  | 0.3727 | 0.243  | 0.7317 
ours-1-69k| 0.8621 | 0.8817 | 0.795  | 0.9318 | 0.9731 | 0.795  | 0.371  | 0.2438 | 0.7317 
ours-1-75k| 0.8625 | 0.8805 | 0.786  | 0.9443 | 0.9731 | 0.786  | 0.3767 | 0.2442 | 0.7317 
ours-1-61k| 0.8618 | 0.8828 |  0.79  | 0.9378 | 0.9728 |  0.79  | 0.3733 | 0.2446 | 0.7316 
ours-1-71k| 0.8607 | 0.8813 |  0.79  | 0.9395 | 0.9719 |  0.79  | 0.375  | 0.2432 | 0.7315 
ours-1-60k| 0.8587 | 0.8786 | 0.785  | 0.9373 | 0.9684 | 0.785  | 0.372  | 0.2426 | 0.7284 
ours-1-66k| 0.8575 | 0.8762 | 0.785  | 0.9343 | 0.9705 | 0.785  | 0.372  | 0.2434 | 0.728  
ours-1-65k| 0.8581 | 0.8778 | 0.784  | 0.9317 | 0.9725 | 0.784  | 0.3713 | 0.2444 | 0.728  
